Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name
1081,34,Greek goddess-style not for all!,"If you have any curves, avoid! it is not flattering.
the striped side panels look odd with the flow of the dress.",1,0,0,General Petite,Dresses,Dresses
984,49,Lovely jacket,"I really like this denim jacket with the plaid underneath. i also like the removable fur lining being that i live in florida i really don't need that. i ordered a size small which is my normal size and a medium. the small was tight in the arms so, i decided to keep the medium. i am really glad that i followed the others review in regards to sizing.",5,1,0,General Petite,Jackets,Jackets
921,83,Gorgeous!,"This sweater is beautiful!
the lace is gorgeous and the sweater is soft and cozy.....rare to find a top that is stunning and comfortable at the same time!
the lace is very high quality, and enhances the sweater in a very sophisticated way.....adding that little something special.
the color keeps the overall look elegant and appropriate for any age.
runs true to size.",5,1,10,General,Tops,Sweaters
985,33,Perfect!,"This jacket is so great! i've gone through a few seasons now trying to find that one perfect little olive green jacket. this one wins! the color is nice and saturated. the fabric is soft and drapey so it's still flattering to my shape. it's slightly relaxed and i think it creates an ""easy"" look. i've already worn this with a dress, and it will finish off many other looks in my closet! yea! i'm 5'6"", 138 lbs and took a medium.",5,1,0,General Petite,Jackets,Jackets
150,56,This product adds volume.,This jacket is very cozy but i had to send it back. i think it will be great on a taller person.,3,1,0,Initmates,Intimate,Sleep
909,45,This sweater is everywhere!,"And not in a good way. everywhere i went, i left a little of this sweater behind. within hours of having it on, i was picking balls of fabric off the couch, bed, and the sweater itself looked like it was molting. great style, fabric and fit (although a little on the long side,) but there's no way i can keep it.",2,0,3,General,Tops,Fine gauge
1137,52,Elegant retro sweater tee,"This sweater tee is made from a fine but substantial knit which hangs beautifully and flows over imperfections in your figure. the cut is very 1950's through the sleeves and neckline. it's a little cropped and boxy, just so that it hides your belly and accentuates your hips. it looks phenomenal with a crinolined a-line skirt.",5,1,1,General,Trend,Trend
1092,39,Laura ingalls eat your heart out,"Retailer is totally killing my wallet because i can't resist these modern-city-meets-prairie-boho dresses. i bow down to the textile designers who created this print, it's stunning. as for reality vs. model shoot, it's pretty much what you see--the colors are spot on, the outer dress is sheer, the bodice is slightly fitted, with a fuller skirt that doesn't poof too much. all poly construction with no stretch whatsoever. i had a bit of a struggle getting the outer dress over my shoulders but once a",5,1,10,General Petite,Dresses,Dresses
240,37,Love *almost* everything about it,"This suit is well made, and is so darn cute. i usually wear a 6, but i am a size 8 in this (8 us size, although the main tag is australian size. they send out based on the us size ordered). the only issue i have is that i have a long-ish torso compared to my size, so it's ever so slightly tight in the crotch, but not enough to make me send it back. i have small boobs, so the extra padding is nice. i'm and athletic 5'6"" and 130 lbs.",4,1,1,Initmates,Intimate,Swim
830,67,,"The neckline is beautiful! it's super soft and comfy. sadly, my normal large looked very boxy. i am hoping the medium will fit better.",4,1,1,General,Tops,Blouses
873,47,Best for less chest,"I love this top so much i tried it on twice. because i forgot why it didn't work the first time: i have a chest. i'm just a c cup, but i looked lumpy and matronly in this top. if that's not an issue for you, i think you'll love it.",4,1,2,General Petite,Tops,Knits
1148,32,"Nice, but too low","These jeans are great quality, but they just hit too low for me to be comfortable.",4,1,0,General Petite,Bottoms,Jeans
831,26,Simple yet charming,"I really wish i could keep this top. the material is okay and i have noticed with this brand, shirts made from this material do not wash well or look that nice after a wash. if you have the time to dry clean then i would 100% recommend this top. another tip if you buy this (since i didn't read the description) the top has buttons all down the front. i am not a fan of button tops because i have a larger chest so i wouldn't recommend this top to someone who is busty.",3,1,2,General Petite,Tops,Blouses
862,31,Shrinks! don't buy,"I tried on and bought this shirt in my usual size and it fit long and loose but still had great shape. after hand washing in cold water and air drying, as per instructions on the tag, the shirt shrunk significantly. so much so that my stomach shows if i raise my arms at all. it also lost its shape, and now looks very boxy and is very unflattering. i won't be wearing it and am disappointed i didn't even get to wear it once!",1,0,0,General,Tops,Knits
883,31,Perfect,Love this tank! so easy to throw on quickly and still look out together!,5,1,1,General,Tops,Knits
1095,29,"Armholes too big, gap","This dress is lovely fabric, generaly nicely tailored, but weirdly large around armholes, which gap. i'm sending it back. also this 'red' is more like a fuschia.
 dress was generally a a bit too big on top, oddly both too long in the torso, and the shoulders cut too far in--they didn't cover bra straps--as well as unattractively large armholes. you can even see it on the model. i i'm a size 10 to 12, fairly busty but not extremely, and with a slightly short torso, which is party the problem (th",3,0,0,General,Dresses,Dresses
1086,35,Soft and flattering,"I love this dress. the pockets are great and the fabric is very soft and similar to other cloth and stone garments. i also love it's made in the usa. my only wish is that the chambray version was as great. (it's not - the pockets are cut bad, it's cut smaller in the chest, and made in china)",5,1,5,General Petite,Dresses,Dresses
936,22,Loved it!,"I got the small even though i usually order a medium for sweaters because i prefer them bigger and i'm glad i got the small. the sleeves are very long (which i love) and the sweater is also loose fitting (also, love). the color is gorgeous and it is thick but super soft. i wouldn't wear anything underneath it unless tucked in because the front just comes to the top of my pants. overall, it's gorgeous and i would definitely recommend this!!",5,1,0,General Petite,Tops,Sweaters
866,43,Quality,"Great peplum top, beautiful whine color. very thick material. i'm hourglass figure, 36d top so it was very flattering",5,1,3,General,Tops,Knits
194,39,"Great, runs small","I love this jacket, but in contrast to the other reviewers find it to run a little small. i usually wear a small at retailer and got a size medium as the small was a little tight under the armpits. this might be because i have a large chest, but i wanted more room in case i want to layer.",5,1,10,General Petite,Intimate,Lounge
936,41,Just not for me,"This sweater has potential, but it wasn't right for me. the collar isn't flattering on me...too thick, and my shoulders are already broad. my waist is high, so i need a longer look. the color is true to size, but it's s little see through...dark bra shows through.",3,0,2,General Petite,Tops,Sweaters
1059,67,Chameleon color,"Saying that these pants are comfortable would be redundant. they are over & above in comfort. i wear a size 8; and they are right on in sizing. i want to comment on the color/print. to see the green, i had to take the pants by a window with natural light and look closely. that being said, i think the pants take on the color of top one chooses. i walked through my closet with the pants in hand. they match with light grey, periwinkle blue, light sky blue, navy, white, your choice. i do prefer a so",5,0,0,General,Bottoms,Pants
861,28,Love the stripes,"I tried both the xs and s in the store. i am usually an xs, but ended up buying the s, because the xs was really short and i didn't want it to be any shorter after washing. the s fit more like a normal t-shirt, although the back is longer. love the color (blue) and the fabric is super soft. also happy that it's not too thin, nor see-through.",5,1,0,General,Tops,Knits
1078,32,Fell apart before my eyes,"Was excited to wear the dress for the first time. but while standing in front of the mirror putting makeup on, the seam between the body and sleeve just started to unravel. strangest thing - just a random hole appeared :(.",1,0,0,General,Dresses,Dresses
820,52,Fall boho,"As other reviewers have said ~ the colors are more muted but good fall colors! quality top with lining and bead detail on hem and sleeves. flowy, loose fit ~ very cute with skinny jeans and booties. i would size down if you are small chested. great boho top.",5,1,1,General Petite,Tops,Blouses
1094,35,Casual pretty!,"It first really run small exactly, rather if you size up one, the zipper works a lot better. it's beautiful in person! i normally wear a 2 or 4 but i tried a 4 and 6. i bought the size 6. for reference in 5'10 130 lbs",4,1,0,General,Dresses,Dresses
940,48,Fabulous!,"I love this vest. i think it is heavy for a warm spring/summer day so kind've surprised it was featured at the store early spring. i waited for it to go on sale and purchased my normal retailer size medium. i agree it may seem big or loose fitting but i am a vest girl and the fit for me is perfect. size 34 dd, 145 lbs and 5 ft 4 in height. it is a great finishing piece for causal or office attire. this vest will definitely stay in my closet for a long time. beautiful quality.",5,1,0,General Petite,Tops,Sweaters
1028,34,,"I have now purchased these pants (online) three times in the ivory. i first ordered them in a 28 as it was the only size available, and i thought that size would fit me in this brand. wrong! i was swimming in them. great pants, but too large in the waist. i kept checking online and they popped back in a 27, which i thought would fit. wrong again! they arrived a couple of days ago, and still they are too large in the waist, but since 27 was the only size available, i thought that i would keep the",4,1,0,General,Bottoms,Jeans
1035,40,Great fit!,Super flattering! stretch a little with repeated wear but not as much as other pairs. i love these!!!,5,1,0,General,Bottoms,Jeans
1098,54,,"The dress is cute, but i'm somewhat concerned that it will be sheer in the sunlight. i guess we'll have to wait and see!",4,1,0,General Petite,Dresses,Dresses
867,37,,"Super cute, a little buggier than expected but great for layering after the gym.",4,1,0,General,Tops,Knits
1060,33,,Beautifully made pants and on trend with the flared crop. so much cuter in person. love these!,5,1,0,General Petite,Bottoms,Pants
1081,46,Lovely but not for me,"I wanted to love this dress.....the reviews were great, the price was right and i needed a simple black dress. the fabric (jersey) is lovely and drapes nicely and the print was pretty. unfortunately, the armholes were way too long and low for me and even with a black bra, i was sharing more of my lingerie than i wanted. perhaps someone with a slightly smaller chest could size down and avoid oversharing!
for reference, i am 5'5"", 145 and wear a 30gg bra. i ordered the m.",4,1,1,General,Dresses,Dresses
828,25,"Beautiful top, but not on me","This top is gorgeous: beautiful lace, substantial fabric, great color. but it looked so weird on me. i have broader shoulders, and the sleeves did not drape on me like they do on the model, they just stuck straight out. as another reviewer mentioned, the fabric is stiff. i didn't want to size up because the body and length both fit well. perhaps if you have smaller/ rounded shoulders this top will hang better. for reference i'm 5'4"", 120 lbs, and tried a size s.",3,1,0,General,Tops,Blouses
1022,35,,"These jeans hug in all the right places. the high waist accentuates my body and makes my legs look a mile long! the jeans will need a trip to the tailor to be hemmed, pooling even with my highest heels.",5,1,0,General,Bottoms,Jeans
895,51,"Unique, cute piece!","This sweater looks exactly as represented in the picture. the detail on the cuffs, neckline and hemline make it unique and set it apart from the typical patterned sweater. i've worn it twice already and i'm very pleased.",5,1,1,General,Tops,Fine gauge
854,53,Very large,Very pretty cardigan but it is huge! i ordered a large (normally xl or large) and it is so big! the shoulder seam comes to middle of my upper arm. i wanted to exchange it for a medium but they are out of stock. bummer.,4,1,6,General,Tops,Knits
820,48,Casual yet office appropriate,"This can take you from office to casual afternoon. i got the plaid print in store. it is much nicer in person than in the picture. very cute neckline and detailing. i'd say true to size, slightly large. i wore my regular size and it fits fine without looking too large.",4,1,0,General Petite,Tops,Blouses
1081,55,Perfect dress for a civil ceremony!,"This dress is gorgeous. i purchased it recently to wear to my civil wedding ceremony and it is absolutely perfect. it is light, flowy, and comfortable, but the details make it special. the sheer sleeves give it ethereal vibe that i love. the quality seems to be extremely high as well. if you are looking for a white dress that is casual, but still unique and beautiful, please give this one a shot. i cannot wait to wear it on my special day!",5,1,0,General Petite,Dresses,Dresses
1104,26,Great dress,I absolutely love everything about this dress. it can be dressed up or down. no complaints.,5,1,4,General,Dresses,Dresses
936,37,Gorgeous!!!,"Every year around this time, our beloved retailer comes out with a wool sweater coat. i've seen every style over the last five years and this year they have outdone themselves!!! this coat is a dream. not too thin and not too thick...it's the perfect layering piece. the fabric has perfect stretch in it. the colors are lovely (i ended up with the cream color, but i loved the green too!!) in many sweater coats i prefer an xl, but because of the stretch the l was just perfect. i'm 5'8 and it hits wel",5,1,8,General,Tops,Sweaters
869,39,Green is a gorgeous color,"I purchased this in the green color, and in person it does have a little bit of blue in it so it's a very flattering color. the blouse has a simple shape but the details are what makes this an interesting piece. it looks as good under a suit as it does with jeans and a leather jacket. fits tts.",5,1,0,General,Tops,Knits
604,32,Love these! exactly what i was looking for,I love these shorts. i don't understand why they aren't sold out yet! they are buttery soft and fit great. i usually wear a size 26 and these are true to size. they are my go to run around shorts but because they are a dark wash so i feel like i can wear them out with a cute top to dinner even. love!!,5,1,1,General,Bottoms,Shorts
854,58,,"Bought both colors - nice quality top, but they do run large. for reference, i'm 5'4"", 115lbs and xs is still kind of big on me. wish they have xxs.",5,1,1,General,Tops,Knits
975,32,,Just purchased this on sale. will be perfect for summer on those days you wear dresses and don't want your skin to touch the subway bench! love it!,5,1,0,General Petite,Jackets,Jackets
865,36,,Not sure why it has gotten good ratings and or why sold out online periodically. awkward fit and flares quit a bit at waist. also has extra material at waist line so does not look flattering.,3,0,1,General,Tops,Knits
873,39,Great peplum top,I love the fit of the peplum top. it's flattering without being too full on the bottom. the print is lovely and great for summer and spring!,5,1,0,General,Tops,Knits
819,33,Drive-in plaid tank,"I'm so disappointed with the fit of this top. it is extremely short, even for my 5'2 frame. sizing up will not fix the length. too bad, because the shirt is cute.",3,0,3,General,Tops,Blouses
938,39,Falling for fringe,Simply lovely to look at because of the fringe detail and it's a joy to wear because it does not cling to my trouble spots.  very versatile as it can be worn and layered in many different ways.  i was lucky enough to buy this in petite but i'm sure the regular would've been fine.  looking forward to outfitting this because i got so much inspiration from instagram.,5,1,0,General,Tops,Sweaters
937,37,Unique piece,"I have worn this beautiful sweater with all kinds of outfits! i love to dress it down with ripped skinnies, booties, & some long layered necklaces. i did not have as big an aversion to the itch factor as the other reviewer, but it is definitely not super soft or anything. it fit a little larger than true to size in my opinion. i should've ordered a small. i think it's a very unique winter staple that matches almost every single thing in my wardrobe. it's versatile, snuggly, & warm i'd recommend",4,1,2,General,Tops,Sweaters
1004,50,"Amazing quality, beautiful design","I absolutely loved this the minute i saw it. the quality is impeccable, and the fit is amazing. i will agree with the other reviewer in that the fabric is very thick (back to the quality of this piece, amazing!!) and some women may not like the extra ""bulk"" to that part of the body. however i'm still on the hunt now for the perfect white top to go with it. thank you retailer for always providing unique, quality pieces :)",5,1,5,General,Bottoms,Skirts
1037,26,,Obsessed with these pants. i have them in the green color and was looking for them to go on sale ! great fit very comfortable,5,1,0,General,Bottoms,Jeans
1083,50,,"I purchased this dress for my 50th birthday bash!!! it was stunning!!! the fit was perfect. i did buy it a size up, but could have worn my regular size. it is incredibly flattering and elegant. very well made. one of my go to black dresses for the summer!!!",5,1,4,General,Dresses,Dresses
942,66,Pretty but runs large,"This sweater was in-store in a more neutral color palette and was so pretty. when i tried it on i noticed a few things: the versatility and quality are definitely there - this is a nice piece even at full-price. the downside is that it runs very large. i'm typically a 14/16 and a size xl in most retailer items, and even the large was a bit roomy. the other thing was that the sleeves of this sweater are pretty long (and i have long arms). due to the bell cut of the sleeve you couldn't even really c",4,1,5,General,Tops,Sweaters
1081,29,Perfect for maternity... and beyond,"I'm bought this dress at 16 weeks pregnant and am loving it! the top drapes, but is still form-fitting enough to show off a little bump. i've received so many compliments. the skirt is short, but i love it, makes legs look great with tights! i sized up a little to allow for room to grow.",5,1,0,General Petite,Dresses,Dresses
829,51,Scratchy gauze,"I am ever in search of a light, white, summer top. this is not quite it. there are two distinct layers, and each of them is the scratchy, starchy type of gauze. it would just roast me in the summer sun--but i run fairly hot in general.",3,0,4,General,Tops,Blouses
863,33,Comfy staple,Love this top! bought the navy to be a cool matching momma for my kiddos baseball and loved it! bought the light pink and red too! fun off the shoulder tee... love how long it is in the back... one thing i will say is that one of the colors fits slightly different like the hem isn't symmetrical or something so i find myself readjusting but i'm sure i'm the only one who notices it... and it doesn't keep me from wearing it and loving it!!!,4,1,0,General,Tops,Knits
1095,31,Classic but unique,"This dress is really beautiful. i was looking for something to wear to a summer 6 o'clock wedding, and this dress will work perfectly. the fabric is smooth and has a tiny bit of sheen to it which makes it look a little nicer and more formal. however, you can easily dress it down. my only issue was the length. i'm 5'4 and this dress was way too long. definitely need to take off about 5 or 6 inches! i also had to size up. i could have tried the petite, but it fit so well everywhere except length,",5,1,7,General Petite,Dresses,Dresses
501,60,Buy this robe!,"Buy this robe before its gone! my friend and i each bought this robe... it feels amazing and makes a girl feel pretty!. i bought the xs/s (34c, 26"" waist), but i tried on the m/l and could have made that work too. love!",5,1,0,Initmates,Intimate,Sleep
1086,39,How do you spell my-mu?,"I love the pattern adn color combo, but, wow,t really flatering on me. too much fabric. i felt like i was trying to hide wight gain or pregnancy or wearing a mumu. anyway, not for me, but others might toll wnat to try in case it was just me... too bad.

length was decent in regulat size though, not too long. just too wide.",2,0,8,General,Dresses,Dresses
829,23,Beautiful & tricky,"I'd recommend getting this top- but only after understanding its limitations. it's beautiful and i bought it even after reading the other critical and accurate reviews because i so loved how it paired with the skirt. unless you size down the rigid form of the embellished straps will lie funny, and the rest of the top fits bizarrely as it is both short (it could almost expose the bottom of your stomach) and has lots of fabric so it almost flows out all around you (accentuating your stomach and ma",3,1,0,General Petite,Tops,Blouses
934,72,Enormous,"Ordered this in my usual medium, knowing it was meant to be over-sized. but i could easily have put another of me (138 lbs. with junk in the trunk) inside it! so i'm returning it for a small, feeling sure that there'll still be enough extra for a slouchy look.",4,1,3,General,Tops,Sweaters
872,53,,"Great little spring top. the fabric is soft and the drape is of the fabric is just right. it is very loose without making it look like a maternity top and the length hits me right at the top of the hipbone. for reference i am in my 50's, 5'1"" and weigh in the150's. i normally wear medium size and this one was no exception. the blue is a beautiful cobalt color.",5,1,14,General,Tops,Knits
818,44,Summer blouse,"I am 5'8"", broad shoulders,can sometimes wear a size 4 depending on the cut. i purchased the size 6 and was a true fit. just enough flow to give you room to move but not too much to make you look larger than you really are. the fabric us light and great quality. perfect for a summer night out. so happy with this purchase",5,1,0,General,Tops,Blouses
834,32,Light and comfy,"Fun, flowy top! maybe be a little snug across the top for larger chested girls but this flares out into a light and airy dream to wear!",5,1,0,General Petite,Tops,Blouses
1147,35,A delightful piece,"I'm in love with siyu! i saw this jacket/cape and the brilliant colors drew me in. i had to have it. i'm so glad i purchased it, it is wonderful. i would say that the colors are a bit more muted than in the puctures, but still a brilliant statement piece. i was considering getting the sleeveless golden mock turtleneck to go with it, but glad i didn't. the neck of the jacket comes up fairly high, and it probably wouldn't have shown. the wool material is very fine, not scratchy, and a bit stretchy",5,1,7,General Petite,Trend,Trend
936,52,"Zippery-do-dah, zippery-day, my,oh,my sweater",This sweater is very cute! it looks great with a blouse underneath and open the zipper or it is great with a camisole. you will need something underneath especially if the temperatures are low as it is a wee bit shear. i am a small/medium ordinarily but it depends upon the designer. this runs a little large but keep that in mind if you plan on layering. the price is right and the zipper is aesthetically pleasing. i have the blue and oatmeal/beige color both are great pieces to any wardrobe.,5,1,0,General Petite,Tops,Sweaters
834,45,Super cute & comfy top!,"When i saw this top online i loved it, and in person i love it even more! so perfect for spring/summer and i can see it even transitioning into fall. the sizing is perfect - i am a size 12/l in tops, and the size 12 i ordered is just right. it's loose but not too loose or frumpy looking. the fabric is slightly thin but that's perfect for the summer, but it would be cute layered with a cami or a cardigan when it's cooler. the only thing is, if you a little busty, the neckline might dip a tiny bit",5,1,6,General,Tops,Blouses
862,33,Beautiful top,"Upon opening this top, i thought for sure it was going to be too s mall, but it stretches nicely and is gorgeous when on. it is a little thin, and you have to be careful that it's not too tight or you can see skin through the knots, but i love this shirt. i got the xs, which is my usual size. i could probably have used the s, but didn't want to pay for shipping to exchange it as i don't have a store anywhere near me and the xs was fine.",5,1,0,General,Tops,Knits
949,38,Cute sweater!,Purchased this sweater in the blue color which is a gray/blue. it runs large as the xs is still quite roomy on me in the body. although the arms are more snug. great quality.,5,1,0,General,Tops,Sweaters
1078,49,Tent-like but cozy,"I tried this on in the store and it fit like a tent on me. it doesn't help that i'm 5'1"" and the store didn't have the petite sizes. maybe on a teller person it would work better. or maybe if i had been able to try the petite size it would have more wearable. it is a comfy style and the natural fiber is a plus. i have another holding horses dress that i love which also runs large. i did not mark this as ""runs large"" because the sleeves are more true to size while the bodice is very billowy. i wo",3,0,4,General Petite,Dresses,Dresses
728,59,Love them,Bought a pair of these with a gift card i got for my birthday.  just ordered another pair!  i love them for everyday use and working out,5,1,0,Initmates,Intimate,Legwear
877,47,Poor quality and unflattering,"This top is has an awkward neckline, doesn't lay like the photo (as mentioned by another reviewer.) see threw, and of poor quality. the fit is very baggy and unflattering. and material is very thin. it also runs very large!! the color is pretty, but that is it :(",2,0,2,General Petite,Tops,Knits
603,51,Gorgeous shorts,"These shorts are just beautiful. with that said, they were expensive, but made reasonable when i snagged them in the online sale! they do also run large, and they seem to be made for short-waisted bodies. i will be bringing them back to my local store to (hopefully) exchange for a smaller size. fingers crossed that they still have them in stock!",3,1,0,General,Bottoms,Shorts
862,48,Poor quality,"When the top arrived and i tried it on; it was great. the length was perfect even though i am curvy. after one wash (done according to the directions), the top shrank in length considerably. i do not mind paying a higher price for something unique and something of quality.....i do have a problem with something that does not hold up to basic use. i will be returning this item.",1,0,0,General,Tops,Knits
1001,39,Lovely classic,"I love this skirt, wanted to order it from the moment it was new and took em a while to decide to do so (when i saw it was almost sold out in my size, which it is now). another thing is it doesn't come in petite - boohoo.
anyway, ordered the 0 (smallest size) for my 26.5 in waist - didn't have any trouble with the waist being too tight, like some other reviewers. it fit really well and comfortably. sits at the natural waist, so the hem isn't too crazy low on me. fine for heels (would be so cute",5,1,0,General,Bottoms,Skirts
461,36,Perfect summer coverup,"I have to be honest, i wear this away from the pool more than to the pool. it is extremely lightweight and comfortable, making it the perfect loungewear to tackle this california heat, and the style is fabulous- love the hassles and beads on the ties.",5,1,0,Initmates,Intimate,Swim
826,66,Very cute,This is a great little top. colors are beautiful and more vibrant in real life. ordered size large and the fit is the same as the model. you could probably size down. armholes are a bit large but am picky about that area and i can work with it. the body flows but it's not huge and is slimming. the high neck and tie are darling. will be cute under a sweater or jacket as weather cools. good buy on sale.,4,1,0,General Petite,Tops,Blouses
1020,22,,"I love the color of this skirt, and the fabric is wonderful. it was a bit longer than anticipated, but fit well.",5,1,1,General Petite,Bottoms,Skirts
504,43,Summer perfection,Purchased the daisy sleep top to go with the matching shorts. i had been eyeing them for awhile in the store and so glad i took the plunge to get the set. i feel feminine and sexy as another reviewer noted while not being revealing (helpful for visitors and children :). i purchased a s as it does run a bit large.,5,1,0,Initmates,Intimate,Sleep
865,34,Cream colored,The top is more of a cream color than an ivory. it's also a bit boxer than anticipated. fit is true to size.,2,1,0,General,Tops,Knits
854,37,Unusual cardigan,"I bought this cardigan online and loved it as soon as it arrived. i bought it on my usual small but it fit very big. this is a nice unusual looking cardi and has a very sporty style , so i wouldn't use it in the office. the material is very soft and slightly on the thin side. i am 5'4"" and 160lbs. i had to return it because the small was too big and couldn't find a xs at the store or online.. size down.",4,1,2,General Petite,Tops,Knits
12,28,Beautiful staple item,"Love this striped top! it's perfect to throw on with black skinnies and a denim jacket or long grey cardigan. it also pairs well with camel. it is super soft. runs big imo, even though other reviewers said small. like most bordeaux, i took an xs, whereas i wear a small in most other retailer brands. similar to the photo, although much looser on me.",5,1,0,General,Tops,Knits
854,36,Quite stylish,"Love this one. i usually wear a medium, got this in medium and fits perfectly. i agree with the prior reviewer regarding the arms, they are a little snug, but i like the fit just as is. the pattern and medium thinkness were just what i was looking for.",5,1,0,General,Tops,Knits
916,37,In love,"I am a little retailer obsessed and have a lot of clothing from here....this has to be the best thing i've ever purchased. it is so soft and beautiful. i am 5'11 and 150lbs and got the m/l ...fits perfectly and doesn't swallow me up but it does hide my bottom and the sides come up but not to wear my side stomach is showing. it does sit at an angle on the body but to me that's so perfect, a little different and not a defect. it is not itchy whats so ever. i love this with skinny jeans and brown boo",5,1,5,General,Tops,Fine gauge
903,21,Lightweight and breezy,"I bought this with the intention of taking it on a very warm trip - and i think it'll do just fine! it's a wonderful open-gauge knit - delicate and light, but substantial enough that i don't fear snagging it constantly. the cloth has a nice weight and drape, and while the fit is on the loose side, it does look intentional. wonderful as a pullover or by itself. i have the minty blue-green color, and it's divine. definitely worth the price.",5,1,19,General Petite,Tops,Fine gauge
176,34,"Comfy, well made, not crazy about the fit","Maybe it's just that it's a bath robe, but i'm not crazy about how this falls. it is very soft, cozy, and cute, though.",3,1,0,Initmates,Intimate,Sleep
936,73,I am in love with this sweater!!,"I have worn this sweater many times, i have received great compliments!",5,1,0,General Petite,Tops,Sweaters
1131,49,Still deciding,"I have not a actually purchased this coat yet but was able to try it on at my local retailer. thought i'd pass along a couple of details the description is missing. the coat is not lined. i have regular length arms and the sleeves are a bit short, not quite 3/4 length but not long enough to keep my wrists warm. also, i was afraid the red would be more orange, it is a very pretty red. it also runs a little big. i am 5'4"" medium, athletic build and would probably consider a m but it seemed bi",4,1,47,General Petite,Jackets,Outerwear
1086,25,,"I love the fit of this dress! the fabric is thick and the shape of it is so adorable. i usually don't like bright colors, but i got it in red and it's just so charming. can't wait to wear it out!",5,1,0,General,Dresses,Dresses
984,27,Wanted to love,"Delaine blazer so many little details with a slight bit of ruggedness. loved the unmatched buttons, checkered back and fraying that gave this piece personality making it appear less stuffy. easyily dress it up or down, that being said it seems to run true to size except the arms and shoulders were very tight. i would consider going up a size if more of an athletic build. ordered a 4 but i think a 6 would have been perfect!",3,1,0,General,Jackets,Jackets
