Clothing ID,Age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,age_category,rating_category,result,classify,tipo,sentimento
1077,33,"Great style, but fabric could be better","I bought this dress in black with the polka dot pattern, and the style is adorable. i love the empire waist and the fit is very flattering. the v does come down a bit low, but a cami can be work underneath for more coverage. my main complaint is the fabric. it is very thin and wrinkles extremely easily. luckily the dark color hides this, but it's a bit disappointing how easily it wrinkles.

great style with leggings or tights - really an all-season dress, though. ran very large for me - i purcha",4,1,1,General,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":500,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I bought this dress in black with the polka dot pattern"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""i love the empire waist and the fit is very flattering"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""it is very thin and wrinkles extremely easily"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""great style with leggings"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""or tights"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""all-season dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
1094,50,Just a nice dress...,"This is one of those dresses that is just ""nice"" and can be one that you go to in a pinch.... it flows very nicely and you can dress it up and down. it's not the best quality in fabric...but if it was all silk you would have paid 3xs. i like it, it fits well...it's not outstanding or unusual. i think it is a bit pricey for what you get...but, it's a ""work horse"" dress...it will do you right whenever you need it to!",3,1,0,General,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":418,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This is one of those dresses that is just \\""nice"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""fits well...it\'s not outstanding or unusual"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
933,48,Cute sweater coat,This sweater coat is really cute and soft (i hate itchy sweaters). the blue is lovely and the cut is flattering. i'm going to check it out in other colors as well!,5,1,4,General Petite,Tops,Sweaters,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":163,""features"":1},""language"":""en"",""entities"":[]}'","('NONE', 'NONE')",NONE,NONE
1086,41,"Great, easy dress","I adore this dress. i bought a little over a month ago and have already worn it many times- rare for me. it is so easy to throw on and yet it's stylish and flattering- i don't have the time or energy i used to get dressed up so i love this. when i bought it, it was knotted on one side in the front. that's the only way i wear it now. it just adds something to it and gives it more shape. i've washed it several times (laid flat to dry) and it has held up well. i'm definitely bookmarking this to buy",5,1,1,General,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":500,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I adore this dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""COMPANY"",""text"":""i bought it"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('COMPANY', 'NONE')",COMPANY,NONE
1078,39,Amazing comfy and a dream!,This fit me perfectly with a little room but think it's meant to be this way so easier to get on and off. this feels like a dream and is very good quality. definitely a heavier piece but i like that. it is so very flattering and drapes beautifully to hide my tummy. the back is adorable too! retailer hit it out of park with this one! grab it before it's too late! i'm a 36ddd and size 14 and the large fit perfectly,5,1,19,General,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":416,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""this feels like a dream and is very good quality"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""definitely a heavier piece"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""very flattering and drapes beautifully to hide my tummy"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""fit perfectly"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
825,26,"Horrible quality, no structure",I recently purchased this blouse on their 40% off sale in white. i was hoping for a crisp white structured blouse. i did read all the reviews and thought i would give it a try anyway. it is awful. there is no structure or shape but the quality is the reason i am returning. it feels like a napkin or thinner. not even worth the extra sale price. i will be returning.,1,0,0,General Petite,Tops,Blouses,adultos,muito ruim,"b'{""usage"":{""text_units"":1,""text_characters"":366,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I recently purchased"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""it is awful"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""COMPANY"",""text"":""there is no structure"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""the quality is the reason i am returning"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""it feels like a napkin or thinner"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i will be returning"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
1047,26,Great summer pants,"These are super cute on. they shorts-length lining inside, which is great.",4,1,1,General Petite,Bottoms,Pants,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":74,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""they shorts"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('COMPANY', 'BEM')",COMPANY,BEM
862,66,"Made poorly, but still kinda cute","I really wanted to like this top. in fact, i have put it on to wear several times then opted for something else. so i'm thinking it has to go back. for one thing, the yoke part is sewn onto the bottom so the stripes are crooked...that bothers me. i may get it in the white instead because i do like the style. i just wish it were in a solid color. but try it - it might work for you!",3,0,2,General,Tops,Knits,terceira idade,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":383,""features"":1},""language"":""en"",""entities"":[]}'","('NONE', 'NONE')",NONE,NONE
936,31,Amazing!,"This jacket is worth every penny! it is light enough to wear when like 55/60 out or good when it is in the 40s with a sweater underneath. the fit and design of the coat is amazing! i love the full collar look - that's my favorite detail of the jacket. loved the green so much, i bought the coral too! i normally wear a 12/14 in clothes and the large was perfect!",5,1,4,General,Tops,Sweaters,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":362,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This jacket is worth every penny"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i love the full collar look - that\'s my favorite detail of the jacket"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""loved the green so much"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""COMPANY"",""text"":""i normally wear a 12/14 in clothes and the large was perfect"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
1094,56,,If you look closely at the pictures this dress is shown 2 different ways. one with a lace covered v-neck and one with a rounded neck. which is it retailer? don't know about the size but i had to answer the question. i won't order the dress until i know exactly which style i'm ordering.,3,1,33,General Petite,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":286,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""which is it retailer?"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""i won\'t order the dress until i know exactly which"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'","('COMPANY', 'MAL')",COMPANY,MAL
1005,22,Cute and edgy,"I love pairing this skirt with edgy tops, it plays so well with the detailing! i'm usually a size 8 but sized up to a 10 so that it didn't pull, other than that,  absolutely love it! beautiful all over",5,1,0,General,Bottoms,Skirts,jovens,boa,"b'{""usage"":{""text_units"":1,""text_characters"":201,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I love pairing this skirt with edgy tops"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""absolutely love it"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('COMPANY', 'BEM')",COMPANY,BEM
854,42,Runs big,I normally wear a small and sometimes a medium. even the extra small feels large all over and in the length. it's gorgeous though.,4,1,0,General Petite,Tops,Knits,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":130,""features"":1},""language"":""en"",""entities"":[]}'","('NONE', 'NONE')",NONE,NONE
941,56,"Beautiful color and tweed design, strange fit",The sweater is beautiful. i loved the tweed design. but the fit was boxy and the collar sat funny. so i had to send it back.,3,0,0,General Petite,Tops,Sweaters,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":124,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""i loved the tweed design"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('COMPANY', 'NONE')",COMPANY,NONE
836,44,A line,"This is a beautiful blouse. very pretty and looks well made. unfortunately i had to send it back. i'm looking for a more classic cut. it has an a line/tent shape. when i put it on and put my arms above my head, the bottom of the blouse was up to my bra!
i would order from this brand again.",4,1,4,General,Tops,Blouses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":290,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""This is a beautiful blouse"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""very pretty and looks well made"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""COMPANY"",""text"":""i would order from this brand again"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('COMPANY', 'NONE')",COMPANY,NONE
129,46,Super comfy,"So cozy and warm, great for the cold nights!",5,1,0,Initmates,Intimate,Sleep,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":44,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""So cozy"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'","('PRODUCT', 'MAL')",PRODUCT,MAL
862,49,Grabbed it in the store!,"I didn't pay much attention to this shirt on the website...when i was in the store yesterday though, i grabbed the green color because it's so pretty! i went back home to see which shirt this was on the website and was surprised. the picture here really doesn't do it justice. it's very soft, has a beautiful and flattering necklace and the flutter sleeves hang nicely rather than puffing out (like snow white...which isn't my goal!). also, because the sleeves drape nicely, you could wear it under s",5,1,12,General Petite,Tops,Knits,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":500,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""I didn\'t pay much attention to this shirt on the website...when i was in the store yesterday though"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""it\'s very soft"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'MAL')",PRODUCT,MAL
1078,41,,"This dress is beautiful. however, it should be noted that there is a gold threading detail throughout the dress, which is not pictured. the dress appears to be a solid cream print in the pics but in person it has gold and cream. i sized up bc i didn't want it to be too fitted, i'm between a 6 snd 8 so i went w medium. it fits will but slightly big. i'd say tts though.",4,1,6,General Petite,Dresses,Dresses,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":370,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This dress is beautiful"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""the dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""the dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""COMPANY"",""text"":""i sized up bc"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""i didn\'t want it to be too fitted"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""i\'d say tts though"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
879,31,Great shirt!,I love this top. it is comfortable and different from other tops in my closet!,5,1,0,General Petite,Tops,Knits,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":78,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""I love this top"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
604,32,Love these! exactly what i was looking for,I love these shorts. i don't understand why they aren't sold out yet! they are buttery soft and fit great. i usually wear a size 26 and these are true to size. they are my go to run around shorts but because they are a dark wash so i feel like i can wear them out with a cute top to dinner even. love!!,5,1,1,General,Bottoms,Shorts,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":302,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""I love these shorts"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i don\'t understand why"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""they aren\'t sold out yet"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""they are buttery soft and fit great"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""i usually wear a size 26 and these are true to size"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""they are my go to run around shorts"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'","('PRODUCT', 'MAL')",PRODUCT,MAL
999,41,Silk meadow mini,"This silk skirt was not the best look for me, but may work for others. i purchased the med, which fit fine. i just wasn't in love with the print/colors. the skirt has quality material and is well made. it's very light and airy. i did return it.",3,1,0,General Petite,Bottoms,Skirts,adultos,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":244,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""i purchased"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""i just wasn\'t in love with the print/colors"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""it\'s very light and airy"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i did return it"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'","('PRODUCT', 'MAL')",PRODUCT,MAL
861,23,Not worth the money!,"I brought this shirt for a vacation, it fitted well and was flattering. totally a comfortable wear, however, after 1 wash on delicate & hang dry small holes appeared near the bottom. i am hoping i can return it. not worth the money.",2,0,3,General,Tops,Knits,jovens,muito ruim,"b'{""usage"":{""text_units"":1,""text_characters"":232,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""a comfortable wear"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'","('PRODUCT', 'MAL')",PRODUCT,MAL
1095,44,This product has great features,"I like this dress. the floral pattern and little red beads. others may think it is baggy, however, i like this type of the style.",5,1,0,General Petite,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":129,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I like this dress"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('COMPANY', 'NONE')",COMPANY,NONE
1078,43,Perfect in every way!,"I loved this dress as soon as i saw it online. but the price was high, and i was nervous about taking a chance on a knit dress. would it be too clingy, too stretchy, too scratchy, too...wrong? i took a chance on it after reading other reviews, and as soon as i tried it on, i knew i had found the perfect dress for winter. it is super comfortable, and the quality of the knit is very good. the material is soft and warn. the dress looks fabulous with bright tights and high boots. in the two weeks i",5,1,1,General,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":499,""features"":1},""language"":""en"",""entities"":[{""type"":""COMPANY"",""text"":""I loved this dress as"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""COMPANY"",""text"":""soon as i saw it online"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""i took"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1},{""type"":""PRODUCT"",""text"":""the perfect dress for winter"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""super comfortable"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""the material is soft and warn"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""the dress looks fabulous with bright tights"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
850,24,Great basic tank,I'm always on the hunt for good white blouses to pair with business casual attire or everyday wear. this was a great tank. i love the fabric. it's nice and sturdy and you don't have to worry about wearing a cami beneath it. this fabric does wrinkle some so bear that in mind. i really like the shape of the top near the shoulders. it's a great conservative cut. the little criss cross detail on the back adds a bit of charm to the top. i would definitely recommend this to others.,4,1,1,General Petite,Tops,Blouses,jovens,razoável,"b'{""usage"":{""text_units"":1,""text_characters"":480,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""i love the fabric"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""it\'s nice"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""this fabric does wrinkle some so bear that in mind"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""i really like the shape of the top near the shoulders"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""it\'s a great conservative cut"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1},{""type"":""PRODUCT"",""text"":""i would definitely recommend this to others"",""disambiguation"":{""subtype"":[""NONE""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
1086,37,,"This dress is beautiful on, is thin enough to be extremely comfortable. being curvy, it feels a little more narrow than i would prefer, but i kept it anyway because it is so beautiful as well as functional.",5,1,1,General,Dresses,Dresses,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":206,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This dress is beautiful"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""extremely comfortable"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""being"",""disambiguation"":{""subtype"":[""MAL""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
1008,36,"Cute skirt for work, then drinks","This skirt is great for the office, but also stylish enough to wear out to drinks/dinner afterwards. i think it fits a little big - i'm usually s and i ended up with an xs.

i think the tan is a little cuter than the gray in person, so i would recommend this one.",5,1,0,General,Bottoms,Skirts,adultos,boa,"b'{""usage"":{""text_units"":1,""text_characters"":263,""features"":1},""language"":""en"",""entities"":[{""type"":""PRODUCT"",""text"":""This skirt is great for the office"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""fits a little big"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1},{""type"":""PRODUCT"",""text"":""recommend this one"",""disambiguation"":{""subtype"":[""BEM""]},""count"":1}]}'","('PRODUCT', 'BEM')",PRODUCT,BEM
1092,25,Cute in theory,"Adorable, old school retailer; the only gripe i have is trying to get this on. the slip is similar to putting on a straight jacket. once you figure it out, then it's gorgeous. just be careful and lay it out carefully before you pull it over your head.",5,1,6,General,Dresses,Dresses,jovens,boa,"b'{""usage"":{""text_units"":1,""text_characters"":251,""features"":1},""language"":""en"",""entities"":[]}'","('NONE', 'NONE')",NONE,NONE
